,nick,contents,recomm,unrecomm,title,play,like,reple_count,episode
0,파츄리,유노 : 윳키♡♡ 죽지마♡♡♡,0,1,"신성록, 황실 폭탄 테러로 목숨 위험한 ‘장나라 구출’","재생수 251,093","1,330",298,25
1,파츄리,유노 : 윳키는 죽지않아!! 윳키는 유노가 지켜줄테니까!!,1,2,"신성록, 황실 폭탄 테러로 목숨 위험한 ‘장나라 구출’","재생수 251,093","1,330",298,25
2,파츄리,윳키는 유노가 지켜줄께!!,1,1,"신성록, 황실 폭탄 테러로 목숨 위험한 ‘장나라 구출’","재생수 251,093","1,330",298,25
3,맥루한 선생,뭘본거지 ㅋㅋㅋㅋㅋ,2,0,"신성록, 황실 폭탄 테러로 목숨 위험한 ‘장나라 구출’","재생수 251,093","1,330",298,25
4,슬기로운딸들,이거보다가 메이킹에서 혁이가 써니 안고 나가는거 신성록이 연기라니까 하던거 생각나서 현웃 터졌네ㅋㅋ,9,0,"신성록, 황실 폭탄 테러로 목숨 위험한 ‘장나라 구출’","재생수 251,093","1,330",298,25
5,김경진,으앙ㅜㅜ2탄안나오나요?ㅜㅜ,1,0,"신성록, 황실 폭탄 테러로 목숨 위험한 ‘장나라 구출’","재생수 251,093","1,330",298,25
6,보풀래기,ㅋㅋㅋㅋㅋㅋㅋ,1,0,"신성록, 황실 폭탄 테러로 목숨 위험한 ‘장나라 구출’","재생수 251,093","1,330",298,25
7,jerr****,으아ㅏㅏㅏㅏㅠㅠㅠㅠ이혁 살아남았어야지 ㅠㅠㅠㅠㅠㅠ죽으면 안되자나ㅏㅏ,4,0,"신성록, 황실 폭탄 테러로 목숨 위험한 ‘장나라 구출’","재생수 251,093","1,330",298,25
8,라즈,그럼 나왕식은 오써니 구할려고 폭탄 안고 죽었네 아휴 머리에도 총알도 박혔는데...마지막회에서 나왕식 돌아올줄 알았는데...,8,1,"신성록, 황실 폭탄 테러로 목숨 위험한 ‘장나라 구출’","재생수 251,093","1,330",298,25
9,재미나,경호원은 다 어디가고...하. 참,3,1,"신성록, 황실 폭탄 테러로 목숨 위험한 ‘장나라 구출’","재생수 251,093","1,330",298,25
10,메구마,저게 왕식이였다구요????? 헐........,6,0,"신성록, 황실 폭탄 테러로 목숨 위험한 ‘장나라 구출’","재생수 251,093","1,330",298,25
11,엥,혹시 작가 바꼈어요..?,5,1,"신성록, 황실 폭탄 테러로 목숨 위험한 ‘장나라 구출’","재생수 251,093","1,330",298,25
12,Dalgona,왜 살상용 폭탄이 엄한데만 터질까나 ㅋㅋ 폭죽인가보다,5,1,"신성록, 황실 폭탄 테러로 목숨 위험한 ‘장나라 구출’","재생수 251,093","1,330",298,25
13,zosh****,나왕식은 왕꿈틀이었던게냐,8,1,"신성록, 황실 폭탄 테러로 목숨 위험한 ‘장나라 구출’","재생수 251,093","1,330",298,25
14,이은진,배우들의연기력으로끝까지봤어요❤❤,10,0,"신성록, 황실 폭탄 테러로 목숨 위험한 ‘장나라 구출’","재생수 251,093","1,330",298,25
15,rlag****,아 ㅠㅠ천우빈이 안나와서 넘 아쉬워요ㅜ,11,4,"신성록, 황실 폭탄 테러로 목숨 위험한 ‘장나라 구출’","재생수 251,093","1,330",298,25
16,임다솔,나왕식 꿈틀이사건ㅋㅋㅋㅋㅋ아니 몸으로 폭탄막은건디 꿈틀이라뉫ㅋㅋㅋㅋ아웃겨,13,1,"신성록, 황실 폭탄 테러로 목숨 위험한 ‘장나라 구출’","재생수 251,093","1,330",298,25
17,도윤서,아니 왕식이 드라마에서 갑자기 사라짐....ㅠㅠㅠㅠ 저 꿈틀이가 왕식이라니 ㅠㅠㅠ 최진혁배우님 마지막회에는 나오시는거죠??ㅠㅠㅠㅠㅠㅠ 써니랑 둘이 어케되는거 ㅠㅠㅠ,7,8,"신성록, 황실 폭탄 테러로 목숨 위험한 ‘장나라 구출’","재생수 251,093","1,330",298,25
18,보름달,아리는 외나감?,4,0,"신성록, 황실 폭탄 테러로 목숨 위험한 ‘장나라 구출’","재생수 251,093","1,330",298,25
19,박나현,이때 본방보면서 진짜... 이혁때매 심장 부서지는줄... ㅠㅠ  안그래도 황품보고 덕후된 이혁덕후라 가만히 있어도 심장이 지진나는데ㅠㅠ,15,0,"신성록, 황실 폭탄 테러로 목숨 위험한 ‘장나라 구출’","재생수 251,093","1,330",298,25
20,파츄리,유노 : 윳키♡♡ 죽지마♡♡♡,0,1,"신성록, 황실 폭탄 테러로 목숨 위험한 ‘장나라 구출’","재생수 251,093","1,330",298,25
21,파츄리,유노 : 윳키는 죽지않아!! 윳키는 유노가 지켜줄테니까!!,1,2,"신성록, 황실 폭탄 테러로 목숨 위험한 ‘장나라 구출’","재생수 251,093","1,330",298,25
22,파츄리,윳키는 유노가 지켜줄께!!,1,1,"신성록, 황실 폭탄 테러로 목숨 위험한 ‘장나라 구출’","재생수 251,093","1,330",298,25
23,맥루한 선생,뭘본거지 ㅋㅋㅋㅋㅋ,2,0,"신성록, 황실 폭탄 테러로 목숨 위험한 ‘장나라 구출’","재생수 251,093","1,330",298,25
24,슬기로운딸들,이거보다가 메이킹에서 혁이가 써니 안고 나가는거 신성록이 연기라니까 하던거 생각나서 현웃 터졌네ㅋㅋ,9,0,"신성록, 황실 폭탄 테러로 목숨 위험한 ‘장나라 구출’","재생수 251,093","1,330",298,25
25,김경진,으앙ㅜㅜ2탄안나오나요?ㅜㅜ,1,0,"신성록, 황실 폭탄 테러로 목숨 위험한 ‘장나라 구출’","재생수 251,093","1,330",298,25
26,보풀래기,ㅋㅋㅋㅋㅋㅋㅋ,1,0,"신성록, 황실 폭탄 테러로 목숨 위험한 ‘장나라 구출’","재생수 251,093","1,330",298,25
27,jerr****,으아ㅏㅏㅏㅏㅠㅠㅠㅠ이혁 살아남았어야지 ㅠㅠㅠㅠㅠㅠ죽으면 안되자나ㅏㅏ,4,0,"신성록, 황실 폭탄 테러로 목숨 위험한 ‘장나라 구출’","재생수 251,093","1,330",298,25
28,라즈,그럼 나왕식은 오써니 구할려고 폭탄 안고 죽었네 아휴 머리에도 총알도 박혔는데...마지막회에서 나왕식 돌아올줄 알았는데...,8,1,"신성록, 황실 폭탄 테러로 목숨 위험한 ‘장나라 구출’","재생수 251,093","1,330",298,25
29,재미나,경호원은 다 어디가고...하. 참,3,1,"신성록, 황실 폭탄 테러로 목숨 위험한 ‘장나라 구출’","재생수 251,093","1,330",298,25
30,메구마,저게 왕식이였다구요????? 헐........,6,0,"신성록, 황실 폭탄 테러로 목숨 위험한 ‘장나라 구출’","재생수 251,093","1,330",298,25
31,엥,혹시 작가 바꼈어요..?,5,1,"신성록, 황실 폭탄 테러로 목숨 위험한 ‘장나라 구출’","재생수 251,093","1,330",298,25
32,Dalgona,왜 살상용 폭탄이 엄한데만 터질까나 ㅋㅋ 폭죽인가보다,5,1,"신성록, 황실 폭탄 테러로 목숨 위험한 ‘장나라 구출’","재생수 251,093","1,330",298,25
33,zosh****,나왕식은 왕꿈틀이었던게냐,8,1,"신성록, 황실 폭탄 테러로 목숨 위험한 ‘장나라 구출’","재생수 251,093","1,330",298,25
34,이은진,배우들의연기력으로끝까지봤어요❤❤,10,0,"신성록, 황실 폭탄 테러로 목숨 위험한 ‘장나라 구출’","재생수 251,093","1,330",298,25
35,rlag****,아 ㅠㅠ천우빈이 안나와서 넘 아쉬워요ㅜ,11,4,"신성록, 황실 폭탄 테러로 목숨 위험한 ‘장나라 구출’","재생수 251,093","1,330",298,25
36,임다솔,나왕식 꿈틀이사건ㅋㅋㅋㅋㅋ아니 몸으로 폭탄막은건디 꿈틀이라뉫ㅋㅋㅋㅋ아웃겨,13,1,"신성록, 황실 폭탄 테러로 목숨 위험한 ‘장나라 구출’","재생수 251,093","1,330",298,25
37,도윤서,아니 왕식이 드라마에서 갑자기 사라짐....ㅠㅠㅠㅠ 저 꿈틀이가 왕식이라니 ㅠㅠㅠ 최진혁배우님 마지막회에는 나오시는거죠??ㅠㅠㅠㅠㅠㅠ 써니랑 둘이 어케되는거 ㅠㅠㅠ,7,8,"신성록, 황실 폭탄 테러로 목숨 위험한 ‘장나라 구출’","재생수 251,093","1,330",298,25
38,보름달,아리는 외나감?,4,0,"신성록, 황실 폭탄 테러로 목숨 위험한 ‘장나라 구출’","재생수 251,093","1,330",298,25
