,nick,contents,recomm,unrecomm,title,play,like,reple_count,episode
0,만듀만듀만듀만듀,황태제마마가 다쳤다는데!!!무슨하늘이 도워줘!!!!본격 어른보다 더 어른같은 아이 등장ㅋㅋ 아리공주 멋지다,2,0,"“머리 어떻게 된 거 아냐?” 오아린, 윤소이 야망에 ‘당황＋분노’","재생수 518,842","2,355",183,22
1,얼음마녀,아리공주 진실을 말하는것도 그사람을 위하는겁니다.어마마마께 가세요.,4,0,"“머리 어떻게 된 거 아냐?” 오아린, 윤소이 야망에 ‘당황＋분노’","재생수 518,842","2,355",183,22
2,이서인,완전.....유모  스앵님이네..,6,0,"“머리 어떻게 된 거 아냐?” 오아린, 윤소이 야망에 ‘당황＋분노’","재생수 518,842","2,355",183,22
3,윤혜령,아리공주 연기잘한다. 유모 진짜 나빠. 이간질장인 ㅋㅋ 황후마마한테 가~아리공주,5,0,"“머리 어떻게 된 거 아냐?” 오아린, 윤소이 야망에 ‘당황＋분노’","재생수 518,842","2,355",183,22
4,ㅎㅎ,둘이 옷 대조적으로 입은것도 연출인듯 유모는 속은 검은데 흰옷을 겉에 두르고 잇고 황후는 속은 하얀데 겉은 검은 옷으로,17,0,"“머리 어떻게 된 거 아냐?” 오아린, 윤소이 야망에 ‘당황＋분노’","재생수 518,842","2,355",183,22
5,knae****,아리귀여워요,7,0,"“머리 어떻게 된 거 아냐?” 오아린, 윤소이 야망에 ‘당황＋분노’","재생수 518,842","2,355",183,22
6,카페타걸,아리공주 완전 불쌍,7,0,"“머리 어떻게 된 거 아냐?” 오아린, 윤소이 야망에 ‘당황＋분노’","재생수 518,842","2,355",183,22
7,롸,절 믿으십시오 하는데 좀 쓰앵님 생각났다ㅋㅋㅋ,8,0,"“머리 어떻게 된 거 아냐?” 오아린, 윤소이 야망에 ‘당황＋분노’","재생수 518,842","2,355",183,22
8,잉,윤소이가 장나라보다 나이 많아보임 ㅋㅋㅋ,7,0,"“머리 어떻게 된 거 아냐?” 오아린, 윤소이 야망에 ‘당황＋분노’","재생수 518,842","2,355",183,22
9,Secret Heart,아리공주 팩폭ㅋㅋ 난 아리가 서강희의 딸이라고 생각하진 않는다 차라리 소현왕후의 딸이면...,9,1,"“머리 어떻게 된 거 아냐?” 오아린, 윤소이 야망에 ‘당황＋분노’","재생수 518,842","2,355",183,22
10,123456789,혹시 소현왕후의 딸인가  아리가?  물속에 빠졌을때  진통이와서 낳았고  그걸  유모가 받은거지 그러고 소현왕후를 죽이고,10,5,"“머리 어떻게 된 거 아냐?” 오아린, 윤소이 야망에 ‘당황＋분노’","재생수 518,842","2,355",183,22
11,곰,ㅎ,6,0,"“머리 어떻게 된 거 아냐?” 오아린, 윤소이 야망에 ‘당황＋분노’","재생수 518,842","2,355",183,22
12,Ddba,근데 아리공주 진짜 왕손 맞냐?,17,0,"“머리 어떻게 된 거 아냐?” 오아린, 윤소이 야망에 ‘당황＋분노’","재생수 518,842","2,355",183,22
13,꽃의주문,어제는 고구마 백개 먹은듯,11,0,"“머리 어떻게 된 거 아냐?” 오아린, 윤소이 야망에 ‘당황＋분노’","재생수 518,842","2,355",183,22
14,벚꽃이피는봄,어린애 심리 이용하는 년한테 엄마대접 해주지마 아리공주!!! 널 진심으로 사랑해주는 사람은 황후 오써니뿐이야!!!,12,0,"“머리 어떻게 된 거 아냐?” 오아린, 윤소이 야망에 ‘당황＋분노’","재생수 518,842","2,355",183,22
15,비글진우,아리공주 황후한테가장,8,0,"“머리 어떻게 된 거 아냐?” 오아린, 윤소이 야망에 ‘당황＋분노’","재생수 518,842","2,355",183,22
16,danhana,"연기 영재...아리.,",13,1,"“머리 어떻게 된 거 아냐?” 오아린, 윤소이 야망에 ‘당황＋분노’","재생수 518,842","2,355",183,22
17,돌담길,유모 아리를 지 손아귀에 넣으려고 판짜는거 짠하네 애가 저렇게 똑똑한데 속이는것도 어렵지,16,0,"“머리 어떻게 된 거 아냐?” 오아린, 윤소이 야망에 ‘당황＋분노’","재생수 518,842","2,355",183,22
18,지영현,이빨 하나 빠진거 너무너무너무 귀엽드아♥,18,0,"“머리 어떻게 된 거 아냐?” 오아린, 윤소이 야망에 ‘당황＋분노’","재생수 518,842","2,355",183,22
19,용,둘다 나쁘긴 하지만 유모보다 태후가 좀 더 나쁜것 같다,6,4,"“머리 어떻게 된 거 아냐?” 오아린, 윤소이 야망에 ‘당황＋분노’","재생수 518,842","2,355",183,22
20,만듀만듀만듀만듀,황태제마마가 다쳤다는데!!!무슨하늘이 도워줘!!!!본격 어른보다 더 어른같은 아이 등장ㅋㅋ 아리공주 멋지다,2,0,"“머리 어떻게 된 거 아냐?” 오아린, 윤소이 야망에 ‘당황＋분노’","재생수 518,842","2,355",183,22
21,얼음마녀,아리공주 진실을 말하는것도 그사람을 위하는겁니다.어마마마께 가세요.,4,0,"“머리 어떻게 된 거 아냐?” 오아린, 윤소이 야망에 ‘당황＋분노’","재생수 518,842","2,355",183,22
22,이서인,완전.....유모  스앵님이네..,6,0,"“머리 어떻게 된 거 아냐?” 오아린, 윤소이 야망에 ‘당황＋분노’","재생수 518,842","2,355",183,22
23,윤혜령,아리공주 연기잘한다. 유모 진짜 나빠. 이간질장인 ㅋㅋ 황후마마한테 가~아리공주,5,0,"“머리 어떻게 된 거 아냐?” 오아린, 윤소이 야망에 ‘당황＋분노’","재생수 518,842","2,355",183,22
24,ㅎㅎ,둘이 옷 대조적으로 입은것도 연출인듯 유모는 속은 검은데 흰옷을 겉에 두르고 잇고 황후는 속은 하얀데 겉은 검은 옷으로,17,0,"“머리 어떻게 된 거 아냐?” 오아린, 윤소이 야망에 ‘당황＋분노’","재생수 518,842","2,355",183,22
25,knae****,아리귀여워요,7,0,"“머리 어떻게 된 거 아냐?” 오아린, 윤소이 야망에 ‘당황＋분노’","재생수 518,842","2,355",183,22
26,카페타걸,아리공주 완전 불쌍,7,0,"“머리 어떻게 된 거 아냐?” 오아린, 윤소이 야망에 ‘당황＋분노’","재생수 518,842","2,355",183,22
27,롸,절 믿으십시오 하는데 좀 쓰앵님 생각났다ㅋㅋㅋ,8,0,"“머리 어떻게 된 거 아냐?” 오아린, 윤소이 야망에 ‘당황＋분노’","재생수 518,842","2,355",183,22
28,잉,윤소이가 장나라보다 나이 많아보임 ㅋㅋㅋ,7,0,"“머리 어떻게 된 거 아냐?” 오아린, 윤소이 야망에 ‘당황＋분노’","재생수 518,842","2,355",183,22
29,Secret Heart,아리공주 팩폭ㅋㅋ 난 아리가 서강희의 딸이라고 생각하진 않는다 차라리 소현왕후의 딸이면...,9,1,"“머리 어떻게 된 거 아냐?” 오아린, 윤소이 야망에 ‘당황＋분노’","재생수 518,842","2,355",183,22
30,123456789,혹시 소현왕후의 딸인가  아리가?  물속에 빠졌을때  진통이와서 낳았고  그걸  유모가 받은거지 그러고 소현왕후를 죽이고,10,5,"“머리 어떻게 된 거 아냐?” 오아린, 윤소이 야망에 ‘당황＋분노’","재생수 518,842","2,355",183,22
31,곰,ㅎ,6,0,"“머리 어떻게 된 거 아냐?” 오아린, 윤소이 야망에 ‘당황＋분노’","재생수 518,842","2,355",183,22
32,Ddba,근데 아리공주 진짜 왕손 맞냐?,17,0,"“머리 어떻게 된 거 아냐?” 오아린, 윤소이 야망에 ‘당황＋분노’","재생수 518,842","2,355",183,22
33,꽃의주문,어제는 고구마 백개 먹은듯,11,0,"“머리 어떻게 된 거 아냐?” 오아린, 윤소이 야망에 ‘당황＋분노’","재생수 518,842","2,355",183,22
34,벚꽃이피는봄,어린애 심리 이용하는 년한테 엄마대접 해주지마 아리공주!!! 널 진심으로 사랑해주는 사람은 황후 오써니뿐이야!!!,12,0,"“머리 어떻게 된 거 아냐?” 오아린, 윤소이 야망에 ‘당황＋분노’","재생수 518,842","2,355",183,22
35,비글진우,아리공주 황후한테가장,8,0,"“머리 어떻게 된 거 아냐?” 오아린, 윤소이 야망에 ‘당황＋분노’","재생수 518,842","2,355",183,22
36,danhana,"연기 영재...아리.,",13,1,"“머리 어떻게 된 거 아냐?” 오아린, 윤소이 야망에 ‘당황＋분노’","재생수 518,842","2,355",183,22
37,돌담길,유모 아리를 지 손아귀에 넣으려고 판짜는거 짠하네 애가 저렇게 똑똑한데 속이는것도 어렵지,16,0,"“머리 어떻게 된 거 아냐?” 오아린, 윤소이 야망에 ‘당황＋분노’","재생수 518,842","2,355",183,22
