,nick,contents,recomm,unrecomm,title,play,like,reple_count,episode
0,벤머리 신부,민궁인이 아리와 써니의 합심으로 굴복! 마지못해 궁인들과 귀하디 귀한 152개 구슬 줍기~ 아리공준 명품 갑질녀인데 사이다 한방 제격이야 ㅎㅎ 어린데도 참 대단해,1,0,"“당장 주워!” 오아린, 이엘리야에 사이다 ‘명품 갑질’","재생수 536,991","2,881",242,18
1,quee****,ㅍㅎㅎㅎㅎ,2,0,"“당장 주워!” 오아린, 이엘리야에 사이다 ‘명품 갑질’","재생수 536,991","2,881",242,18
2,quee****,ㅎㅎㅎㅎㅎ,2,0,"“당장 주워!” 오아린, 이엘리야에 사이다 ‘명품 갑질’","재생수 536,991","2,881",242,18
3,그램마,"""어마마마한테 드려~~~어?"" 이 부분 너무 귀엽다 ㅋㅋㅋㅋ 짹짹이 입같아ㅋㅋㅋㅋㅋ",12,0,"“당장 주워!” 오아린, 이엘리야에 사이다 ‘명품 갑질’","재생수 536,991","2,881",242,18
4,꾸욱,저 애기가 민유라 아들임???,9,0,"“당장 주워!” 오아린, 이엘리야에 사이다 ‘명품 갑질’","재생수 536,991","2,881",242,18
5,수연,귀여웤ㅋㅋㅋㅋㅋ,7,0,"“당장 주워!” 오아린, 이엘리야에 사이다 ‘명품 갑질’","재생수 536,991","2,881",242,18
6,김동영에미친시즈니,원래 갑질 싫어하는데 아리공주는 사이다ㅋㅋㅋㅋㅋㅋㅋ 존귀임ㅋㅋ,8,0,"“당장 주워!” 오아린, 이엘리야에 사이다 ‘명품 갑질’","재생수 536,991","2,881",242,18
7,자몽자몽하다,아린이 너무 연기 잘하잖아..ㅠㅠㅠ,7,0,"“당장 주워!” 오아린, 이엘리야에 사이다 ‘명품 갑질’","재생수 536,991","2,881",242,18
8,회계하라,ㅋㅋㅋㅋㅋㅋㅋ,7,0,"“당장 주워!” 오아린, 이엘리야에 사이다 ‘명품 갑질’","재생수 536,991","2,881",242,18
9,2008년5월25일소년들,ㅋㅋㅋㅋㅋ여윽시 민유라 전담 일진 아리공주 ㅋㅋㅋㅋㅋ,19,0,"“당장 주워!” 오아린, 이엘리야에 사이다 ‘명품 갑질’","재생수 536,991","2,881",242,18
10,llga****,흥 하는거 왜이렇개 귀엽냐 ㅠㅠㅠㅠㅠㅜㅜㅜ 드려~~~어 하는것도 ㅠㅠㅠ,15,0,"“당장 주워!” 오아린, 이엘리야에 사이다 ‘명품 갑질’","재생수 536,991","2,881",242,18
11,가온누리,드라마는 안봤지만 오아린 연기잘한다고 들었는데 그냥 귀엽ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 애기라 그런가 발음도 그렇고 유치원생이 재롱잔치때 연극하는것같음,3,29,"“당장 주워!” 오아린, 이엘리야에 사이다 ‘명품 갑질’","재생수 536,991","2,881",242,18
12,다심,이엘리야 팬입니다 ^^,8,0,"“당장 주워!” 오아린, 이엘리야에 사이다 ‘명품 갑질’","재생수 536,991","2,881",242,18
13,일리,아니 배우들은 다 됐구만 극본이 ㅁㅣ쳐돌아갘ㅋㅋㅋㅋ,9,0,"“당장 주워!” 오아린, 이엘리야에 사이다 ‘명품 갑질’","재생수 536,991","2,881",242,18
14,Sj,이엘리야 너무 예뻐 ...... ㅠㅠㅠㅠ ㅠ ㅠㅠㅠㅠㅠ 밍 ..,11,1,"“당장 주워!” 오아린, 이엘리야에 사이다 ‘명품 갑질’","재생수 536,991","2,881",242,18
15,그냥다좋아,진짜 아리공주 아놔~~~♡♡,13,0,"“당장 주워!” 오아린, 이엘리야에 사이다 ‘명품 갑질’","재생수 536,991","2,881",242,18
16,국화향기,아니 아리공주 넘 귀여워ㅎㅎ좋아요ㅎㅎ,11,0,"“당장 주워!” 오아린, 이엘리야에 사이다 ‘명품 갑질’","재생수 536,991","2,881",242,18
17,국민여신 장세정,이엘리야가 극중에서 나쁜 역할이지만 실제로 보면 착하고 마음이 여리고 천상여자다,14,0,"“당장 주워!” 오아린, 이엘리야에 사이다 ‘명품 갑질’","재생수 536,991","2,881",242,18
18,으엑,?구슬이 52개? 오이? 오이커플 각인가요 순옥킴ㅎㅎ,8,0,"“당장 주워!” 오아린, 이엘리야에 사이다 ‘명품 갑질’","재생수 536,991","2,881",242,18
19,대휘,역시 아리공주 짱,9,0,"“당장 주워!” 오아린, 이엘리야에 사이다 ‘명품 갑질’","재생수 536,991","2,881",242,18
20,벤머리 신부,민궁인이 아리와 써니의 합심으로 굴복! 마지못해 궁인들과 귀하디 귀한 152개 구슬 줍기~ 아리공준 명품 갑질녀인데 사이다 한방 제격이야 ㅎㅎ 어린데도 참 대단해,1,0,"“당장 주워!” 오아린, 이엘리야에 사이다 ‘명품 갑질’","재생수 536,991","2,881",242,18
21,quee****,ㅍㅎㅎㅎㅎ,2,0,"“당장 주워!” 오아린, 이엘리야에 사이다 ‘명품 갑질’","재생수 536,991","2,881",242,18
