,nick,contents,recomm,unrecomm,title,play,like,reple_count,episode
0,행복하지은,이엘리야 배우님 정말 고생하셨어요ㅠㅠㅠㅠ,9,0,시멘트에 파묻히는 이엘리야 ‘역대급 고문’,"재생수 384,553",918,245,3
1,라메리메까,머드팩 잘한당,2,0,시멘트에 파묻히는 이엘리야 ‘역대급 고문’,"재생수 384,553",918,245,3
2,파닥파닥,방심위 지적당했다는 기사도 뜨고 댓글들도 수위 세고 폭력적이라길래 와봤는데 설마 이게 다임? 방송에선 더 센게 나왔나?,3,0,시멘트에 파묻히는 이엘리야 ‘역대급 고문’,"재생수 384,553",918,245,3
3,김대원,어이구...고생햇네,9,0,시멘트에 파묻히는 이엘리야 ‘역대급 고문’,"재생수 384,553",918,245,3
4,뽀삐애견샵,맹물에 진흙이랑 시멘트색소 섞어서 그냥 머드팩 좀 한거구만 뭐가 저렇게 난리인지 ㅋㅋ 연기를 그냥 연기로 봐야지 그런게 문제가 아니라 신은경이 손으로 누를때의 표정연기가 압권이네,4,9,시멘트에 파묻히는 이엘리야 ‘역대급 고문’,"재생수 384,553",918,245,3
5,예원,너무 자극적임...,4,0,시멘트에 파묻히는 이엘리야 ‘역대급 고문’,"재생수 384,553",918,245,3
6,짱짱,우와 무서워~~,3,0,시멘트에 파묻히는 이엘리야 ‘역대급 고문’,"재생수 384,553",918,245,3
7,cotton flower,헐 저건 조폭이나 하는짓 아닌가... 담그는건가..........;;;;;;;,2,0,시멘트에 파묻히는 이엘리야 ‘역대급 고문’,"재생수 384,553",918,245,3
8,네로,이때 쥐도새도 모르게 파묻혔어야 되는데 괜히 살려내서 황후마마께서 알고 되고 복수를....읍읍..,4,1,시멘트에 파묻히는 이엘리야 ‘역대급 고문’,"재생수 384,553",918,245,3
9,진리의 말씀,손으로 지긋이 누를때 신은경의 싸이코패스 오르가즘적인 표정연기 캬 길이남을 명연기네 짝짝짝,9,0,시멘트에 파묻히는 이엘리야 ‘역대급 고문’,"재생수 384,553",918,245,3
10,kikikirururu,미숫가루 맛있었갰땅 고소하이,1,0,시멘트에 파묻히는 이엘리야 ‘역대급 고문’,"재생수 384,553",918,245,3
11,ㅅㅇㅅ,진짜 이엘리야누나한테 너무한거아님? 피디야,4,0,시멘트에 파묻히는 이엘리야 ‘역대급 고문’,"재생수 384,553",918,245,3
12,에휴,이엘리야한테 너무한거 아니냐 시멘트로 사람을 치고 넣다니 저러다 죽으면 어떻해 OOO들아,10,0,시멘트에 파묻히는 이엘리야 ‘역대급 고문’,"재생수 384,553",918,245,3
13,맥루한 선생,미친 저게 뭐야 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아 진짜 이드라마는 무조건 애들 못보게해야겠다;;,16,1,시멘트에 파묻히는 이엘리야 ‘역대급 고문’,"재생수 384,553",918,245,3
14,맨도롱,배우들 힘들겠다ㅠㅠ,11,0,시멘트에 파묻히는 이엘리야 ‘역대급 고문’,"재생수 384,553",918,245,3
15,김민정,진짜 이엘리야 상 줘야한다.ㅠㅠ,16,1,시멘트에 파묻히는 이엘리야 ‘역대급 고문’,"재생수 384,553",918,245,3
16,눈누누,대한민국 황실을 소재로 이게 뭡니까. 스토리도 연출도 다 막장.. 자제 좀 하세요 우리나라 이미지에 먹칠하지말고,26,3,시멘트에 파묻히는 이엘리야 ‘역대급 고문’,"재생수 384,553",918,245,3
17,zate****,아무리 막장 감독.작가라고 대놓고 얘기한다지만 좀 너무 하지않나요? 최배우 본다고 가족들이랑 보다가 채널 돌렸네요. 좀 적당히 합시다.,6,2,시멘트에 파묻히는 이엘리야 ‘역대급 고문’,"재생수 384,553",918,245,3
18,구름많음,이딴것도 드라마냐,8,0,시멘트에 파묻히는 이엘리야 ‘역대급 고문’,"재생수 384,553",918,245,3
19,rb0522,헐 ㅠ,2,0,시멘트에 파묻히는 이엘리야 ‘역대급 고문’,"재생수 384,553",918,245,3
20,행복하지은,이엘리야 배우님 정말 고생하셨어요ㅠㅠㅠㅠ,9,0,시멘트에 파묻히는 이엘리야 ‘역대급 고문’,"재생수 384,553",918,245,3
21,라메리메까,머드팩 잘한당,2,0,시멘트에 파묻히는 이엘리야 ‘역대급 고문’,"재생수 384,553",918,245,3
22,파닥파닥,방심위 지적당했다는 기사도 뜨고 댓글들도 수위 세고 폭력적이라길래 와봤는데 설마 이게 다임? 방송에선 더 센게 나왔나?,3,0,시멘트에 파묻히는 이엘리야 ‘역대급 고문’,"재생수 384,553",918,245,3
23,김대원,어이구...고생햇네,9,0,시멘트에 파묻히는 이엘리야 ‘역대급 고문’,"재생수 384,553",918,245,3
24,뽀삐애견샵,맹물에 진흙이랑 시멘트색소 섞어서 그냥 머드팩 좀 한거구만 뭐가 저렇게 난리인지 ㅋㅋ 연기를 그냥 연기로 봐야지 그런게 문제가 아니라 신은경이 손으로 누를때의 표정연기가 압권이네,4,9,시멘트에 파묻히는 이엘리야 ‘역대급 고문’,"재생수 384,553",918,245,3
25,예원,너무 자극적임...,4,0,시멘트에 파묻히는 이엘리야 ‘역대급 고문’,"재생수 384,553",918,245,3
26,짱짱,우와 무서워~~,3,0,시멘트에 파묻히는 이엘리야 ‘역대급 고문’,"재생수 384,553",918,245,3
27,cotton flower,헐 저건 조폭이나 하는짓 아닌가... 담그는건가..........;;;;;;;,2,0,시멘트에 파묻히는 이엘리야 ‘역대급 고문’,"재생수 384,553",918,245,3
28,네로,이때 쥐도새도 모르게 파묻혔어야 되는데 괜히 살려내서 황후마마께서 알고 되고 복수를....읍읍..,4,1,시멘트에 파묻히는 이엘리야 ‘역대급 고문’,"재생수 384,553",918,245,3
29,진리의 말씀,손으로 지긋이 누를때 신은경의 싸이코패스 오르가즘적인 표정연기 캬 길이남을 명연기네 짝짝짝,9,0,시멘트에 파묻히는 이엘리야 ‘역대급 고문’,"재생수 384,553",918,245,3
30,kikikirururu,미숫가루 맛있었갰땅 고소하이,1,0,시멘트에 파묻히는 이엘리야 ‘역대급 고문’,"재생수 384,553",918,245,3
31,ㅅㅇㅅ,진짜 이엘리야누나한테 너무한거아님? 피디야,4,0,시멘트에 파묻히는 이엘리야 ‘역대급 고문’,"재생수 384,553",918,245,3
32,에휴,이엘리야한테 너무한거 아니냐 시멘트로 사람을 치고 넣다니 저러다 죽으면 어떻해 OOO들아,10,0,시멘트에 파묻히는 이엘리야 ‘역대급 고문’,"재생수 384,553",918,245,3
33,맥루한 선생,미친 저게 뭐야 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아 진짜 이드라마는 무조건 애들 못보게해야겠다;;,16,1,시멘트에 파묻히는 이엘리야 ‘역대급 고문’,"재생수 384,553",918,245,3
34,맨도롱,배우들 힘들겠다ㅠㅠ,11,0,시멘트에 파묻히는 이엘리야 ‘역대급 고문’,"재생수 384,553",918,245,3
35,김민정,진짜 이엘리야 상 줘야한다.ㅠㅠ,16,1,시멘트에 파묻히는 이엘리야 ‘역대급 고문’,"재생수 384,553",918,245,3
36,눈누누,대한민국 황실을 소재로 이게 뭡니까. 스토리도 연출도 다 막장.. 자제 좀 하세요 우리나라 이미지에 먹칠하지말고,26,3,시멘트에 파묻히는 이엘리야 ‘역대급 고문’,"재생수 384,553",918,245,3
37,zate****,아무리 막장 감독.작가라고 대놓고 얘기한다지만 좀 너무 하지않나요? 최배우 본다고 가족들이랑 보다가 채널 돌렸네요. 좀 적당히 합시다.,6,2,시멘트에 파묻히는 이엘리야 ‘역대급 고문’,"재생수 384,553",918,245,3
38,구름많음,이딴것도 드라마냐,8,0,시멘트에 파묻히는 이엘리야 ‘역대급 고문’,"재생수 384,553",918,245,3
39,rb0522,헐 ㅠ,2,0,시멘트에 파묻히는 이엘리야 ‘역대급 고문’,"재생수 384,553",918,245,3
40,twice,배우가 불쌍하다,8,0,시멘트에 파묻히는 이엘리야 ‘역대급 고문’,"재생수 384,553",918,245,3
41,goff****,진짜 자극적이다 미친.... 이런게 방송을 탄다는게 경악ㄷㄷ,19,0,시멘트에 파묻히는 이엘리야 ‘역대급 고문’,"재생수 384,553",918,245,3
42,vvc4558,이드라마 해외에서 못봤으면좋겠다,11,0,시멘트에 파묻히는 이엘리야 ‘역대급 고문’,"재생수 384,553",918,245,3
43,zwee****,이게 뭐야.... 19금 조폭느와르물에나 나오던 시멘트 매장장면을 공중파에서 한복입고 펼친다고...? 도가 지나친거 아님?,27,1,시멘트에 파묻히는 이엘리야 ‘역대급 고문’,"재생수 384,553",918,245,3
44,블랙뻘,저정도면 악녀가 될수밖에 없겠다 ㅋㅋㅋㅋㅋ악녀되도 급이해할듯,25,0,시멘트에 파묻히는 이엘리야 ‘역대급 고문’,"재생수 384,553",918,245,3
45,shaw****,왔다 장보리에서 주인공 장보리는 묻히고 악녀 연민정만 뜬것처럼  이드라마는 나중에 황후는 없고 민유라만 남을듯-,19,2,시멘트에 파묻히는 이엘리야 ‘역대급 고문’,"재생수 384,553",918,245,3
46,김호영,공중파 수위ㄷㄷ,14,1,시멘트에 파묻히는 이엘리야 ‘역대급 고문’,"재생수 384,553",918,245,3
47,Blossom,개고생했겠다ㄷㄷㄷㄷ,21,1,시멘트에 파묻히는 이엘리야 ‘역대급 고문’,"재생수 384,553",918,245,3
48,이현주,드라마가..공중파에서 이런드라마라니...자극적이기만해서 보는 내내 기분이 안좋아... 대한민국 황실이라는 소재로 이런 막장 드라마를 만들다니...,32,0,시멘트에 파묻히는 이엘리야 ‘역대급 고문’,"재생수 384,553",918,245,3
49,mintsy,무섭다,9,0,시멘트에 파묻히는 이엘리야 ‘역대급 고문’,"재생수 384,553",918,245,3
50,bunny,이런거 청소년들이나 범죄자들 악용할까봐 걱정됨ㅠㅠ,19,0,시멘트에 파묻히는 이엘리야 ‘역대급 고문’,"재생수 384,553",918,245,3
51,LuckyGirl,머드팩이 아니라 물이라도 힘들었겠다 ㅠ ㅠ,27,1,시멘트에 파묻히는 이엘리야 ‘역대급 고문’,"재생수 384,553",918,245,3
52,healingsso,와~개막장 ㅠㅠ,6,1,시멘트에 파묻히는 이엘리야 ‘역대급 고문’,"재생수 384,553",918,245,3
53,snp,신세계 패러디.조폭드라마도 아니고.붉은달은 무섭고.남자친구는 우연남발에.이건 막장.뭘 봐야하나.,18,0,시멘트에 파묻히는 이엘리야 ‘역대급 고문’,"재생수 384,553",918,245,3
54,nickyminaj,와 존잼 ^^,3,0,시멘트에 파묻히는 이엘리야 ‘역대급 고문’,"재생수 384,553",918,245,3
55,명히나물,미쳤나진짜ㅜㅜ 수위너무쎄요 이게공중파방송이라니 자제좀,19,0,시멘트에 파묻히는 이엘리야 ‘역대급 고문’,"재생수 384,553",918,245,3
56,Fresh콘,개에바닼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ어뜨캨ㅋㅋㅋㅋ,3,0,시멘트에 파묻히는 이엘리야 ‘역대급 고문’,"재생수 384,553",918,245,3
57,니꿈꿔,시멘트 고문이라니...헐~ 엽기네요.,5,2,시멘트에 파묻히는 이엘리야 ‘역대급 고문’,"재생수 384,553",918,245,3
58,ventus,뭐가 막장이라는건지.. 영드 미드만 봐도 이것보다 심한거 잘만 방영되는데,10,2,시멘트에 파묻히는 이엘리야 ‘역대급 고문’,"재생수 384,553",918,245,3
59,고수진,모방범죄 나올까 무섭네요.,13,0,시멘트에 파묻히는 이엘리야 ‘역대급 고문’,"재생수 384,553",918,245,3
60,mesu****,섬뜩해~독한여자~ 오늘도  본방사수,0,0,시멘트에 파묻히는 이엘리야 ‘역대급 고문’,"재생수 384,553",918,245,3
