,nick,contents,recomm,unrecomm,title,play,like,reple_count,episode
0,gwak****,소품값 얼마나 나갈까 ?,6,1,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
1,kong,그 와중에 신성록 매너손...ㅋ 그게 더 심쿵!!! (제대로 손에 힘 못주는건.. 나만 봄?..^^),15,2,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
2,묘미,귤 까먹는거보고 저도 귤 먹고 싶어서 귤가질러감.. 야무지게 드시네요 ㅋㅋㅋ 귀여우심 ㅠㅠ,9,0,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
3,민사고0603,이엘리야가 실제로 저러면 누가 안넘어오냐 바로 키스각이지,23,2,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
4,민사고0603,그분들 불편하니까 영상 내려주세요 ㅋ,1,12,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
5,pinkViolet D,야동이야?,4,5,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
6,장윤영,오글거리는데 신성록이 잘생겼어,31,2,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
7,미니네,류화영같다ㅎㅎㅎ,6,14,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
8,DLESELPOWER,19금 좀 그만 쳐해라,5,5,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
9,kikikirururu,꼭이렇게 자극적린 장면이 필요할까 에휴,13,6,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
10,사랑행복,19금 드라마인가 참,11,5,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
11,Purine,신성록 연기 톤 왜저래?;; 어색한데;;,11,16,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
12,선술잘,공중파도 무시하는 sbs 대단하ㅏㄷ,12,2,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
13,귤,신은경귤먹는거보고 나도귤가져옴,33,2,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
14,루디,이엘리아 피부 엉망이네 메이컵관리 해야겠다.,29,42,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
15,favo****,이엘리야만 안나오면 완벽한드라만데 이엘리야 연기 너무 오버해,8,64,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
16,아미 캐럿 워너블,ㅋㅋㅋㅋㅋ 귤 뭐야,22,2,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
17,넙치,아 귤ㅋㅋㅋㅋㅋㅋㅋㅋ 갑분귤ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 귤ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,37,0,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
18,권보라,ㅋㅋㅋㅋㅋ 최진혁나온대서 봤다 ㅠㅠ 근데안볼거임언니는살아있다 욕망의불꽃 리턴 다 짬뽕시켜놨니ㅜㅜ 아이고 손오그라들고 민망해서 도저히못보겠다대체저런발상은어디서나오는거임관종은관종이다 박수짝짝짝,5,29,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
19,은빛무지개,신은경 존재감 돋보이네.난 배우 신은경 재능이 아까움.자주 볼수있길.,57,2,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
20,gwak****,소품값 얼마나 나갈까 ?,6,1,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
21,kong,그 와중에 신성록 매너손...ㅋ 그게 더 심쿵!!! (제대로 손에 힘 못주는건.. 나만 봄?..^^),15,2,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
22,묘미,귤 까먹는거보고 저도 귤 먹고 싶어서 귤가질러감.. 야무지게 드시네요 ㅋㅋㅋ 귀여우심 ㅠㅠ,9,0,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
23,민사고0603,이엘리야가 실제로 저러면 누가 안넘어오냐 바로 키스각이지,23,2,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
24,민사고0603,그분들 불편하니까 영상 내려주세요 ㅋ,1,12,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
25,pinkViolet D,야동이야?,4,5,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
26,장윤영,오글거리는데 신성록이 잘생겼어,31,2,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
27,미니네,류화영같다ㅎㅎㅎ,6,14,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
28,DLESELPOWER,19금 좀 그만 쳐해라,5,5,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
29,kikikirururu,꼭이렇게 자극적린 장면이 필요할까 에휴,13,6,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
30,사랑행복,19금 드라마인가 참,11,5,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
31,Purine,신성록 연기 톤 왜저래?;; 어색한데;;,11,16,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
32,선술잘,공중파도 무시하는 sbs 대단하ㅏㄷ,12,2,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
33,귤,신은경귤먹는거보고 나도귤가져옴,33,2,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
34,루디,이엘리아 피부 엉망이네 메이컵관리 해야겠다.,29,42,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
35,favo****,이엘리야만 안나오면 완벽한드라만데 이엘리야 연기 너무 오버해,8,64,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
36,아미 캐럿 워너블,ㅋㅋㅋㅋㅋ 귤 뭐야,22,2,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
37,넙치,아 귤ㅋㅋㅋㅋㅋㅋㅋㅋ 갑분귤ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 귤ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,37,0,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
38,권보라,ㅋㅋㅋㅋㅋ 최진혁나온대서 봤다 ㅠㅠ 근데안볼거임언니는살아있다 욕망의불꽃 리턴 다 짬뽕시켜놨니ㅜㅜ 아이고 손오그라들고 민망해서 도저히못보겠다대체저런발상은어디서나오는거임관종은관종이다 박수짝짝짝,5,29,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
39,은빛무지개,신은경 존재감 돋보이네.난 배우 신은경 재능이 아까움.자주 볼수있길.,57,2,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
40,GJ,개소름. 엄마 죽이고 저리 웃을수있다니.,25,8,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
41,헤르티아,귤 먹는거 왜케 귀여움 ㅋㅋㅋ,38,0,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
42,코드명J,폐하 두 여자들한테 말리는 모습 귀엽다 ㅋㅋ,37,0,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
43,누명을쓴펭귄,오뭏오물... ㅋㅋㅋ 처음 봤을 때 너무 웃겨서.. 다들 똑같구나.... 이 대목에서 나만 웃긴 게 아니였오.,41,2,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
44,szoo****,신씨.참 뻔뻔하게 방송에 또나오네..,13,42,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
45,오늘 치킨보약먹는날,신은경 표정봐 시발 개터지네ㅋㅋㅋㅋ,49,0,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
46,가라니공주님,결말예측..  최진혁이 알고보니 진짜 핏줄이였음.왕의 첫사랑인데 애기 밴채로 섬으로 떠났고.. 재벌2세딸 신은경이 7년전 죽였다던 비서가..  매일밤 신은경 찾아왔다던데..  지금 왕  친아빠일듯.왕이 자길 안봐주자 비서랑 아들하나 가지도록 노력?했고.. 마지못해 같이 살고..7년전 왕 찾아온 비서는 친아빠라 밝히려했다가 죽음당함.  현실적으로 태양호가 왕실의 유전자.. 못생긴 피^^;;,12,22,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
47,햇빛,대박 재밌어서 시간 가는줄 몰랐어요,25,0,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
48,ehch****,아닠ㅋㅋㅋㅋㄱㅋㅋ  귤까먹는게 이렇게 웃길일?,43,0,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
49,탕인,드라마 궁에 msg 마구 첨가한느낌ㅋㅋㅋㅋ 자극적인건 다 때려 넣었다..ㅋㅋㅋ 욕하면서 보는 재미가 이런거구나,58,0,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
50,life is cool,신은경 안봄ㅋ,2,21,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
51,주희,귤뭐얔ㅋㅋㅋㅋㅋ,20,1,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
52,헤르티아,귤씬이 다했다 ㅋㅋㅋ,40,0,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
53,최진영A,신은경은 나옴되나 사치허영에 아픈아들은 나몰라라 한 막장엄만데,13,17,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
54,425632,어우이거심하다 수위,17,7,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
55,하늘,신은경 진짜 왜 나오냐? 먹고 살기 진짜 힘든가보네,2,27,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
56,cream,장나라좀 안나오면좋겠어요 갑자기 그 모기목소리 나오면 채널돌리게되요,16,60,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
57,부자되실,신은경 방송 나오는게 신기하다,18,5,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
58,pris****,신은경 너도 늙었구나,3,20,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
59,Smimi88,무슨 드라만지 모르겟어 너무 오그라들어 ㅋㅋㅋㅋ,11,13,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
60,이은실,신은경씨 전 소속사 문제 옷값 미납 등 여러문제가 있은 분 같은데 저런 사람이 또 나오네요..,13,15,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
61,Masterpiece,근데 이엘리야랑 신성록 보면 볼수록 잘 어울리는 것 같음,58,0,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
62,아로미,귤 너무 야무지게 드시는거 아니냐곸ㅋㅋㅋㅋㅋㅋㅋㅋ,33,0,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
63,시아,역시 신은경 사랑해요 언니ㅜㅠㅠㅠㅠㅠㅋㅋㅋㅋㅋㅋㅋㅋㅋ귤ㅋㅋㅋㅋㅋ,26,1,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
64,동우,ㅈㅈ,4,1,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
65,윌리암띠,귤ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,10,0,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
66,SJ,규ㅜㅜㅜㅜㅜ루ㅜㅜㅜㅜㅜ,8,0,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
67,세면대,지상파 수위 오우 ㅋㅋㅋ,17,1,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
68,권영채,ㅗㅜㅑ,12,0,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
69,happydog,드라만데 얄미워서 꿀밤 콩!!때려주고 싶당~흥!,11,0,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
70,LSH,신성록 진심 좋아하네,26,6,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
71,콩지야,아ㅋㅋㅋㅋ귤 드시는거 넘 귀엽ㅋㅋㅋㅋㅋㅋ,20,0,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
72,행복한나를,신성록 느끼 그자체다,23,10,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
73,다람쥐,신은경 연기는 넘 잘해 연기력 아까워 자주 나와요,19,2,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
74,hohy****,신은경 다시나오네ㅋ 참 할말없다,9,14,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
75,릴리릴리,귤 존나 야무지게 먹네 ㅋㅋㅋㅋㅋㅋㅋ,25,0,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
76,skfen,뭐냐 이3류드라마는,8,6,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
77,sk17****,신은경 연기는 나무랄때 없음,30,1,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
78,샬롬,최악의 장면 저기서 채널 돌림,5,10,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
79,Ellie Kim,연기가 다 하나같이 오바연기...,6,8,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
80,치즈,귤먹는게 너무ㅋㅋㅋㅋㅋ옴뇸뇸뇸ㅋㅋㅋㅋㅋ,30,0,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
81,해피,ㅁㅊ ㅋㅋ 귤 먹으면서 아무렇지도 않게 보고 있어 ㅋㅋㅋ 어제 쇼킹했다,22,0,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
82,mija****,어떻게 이런 내용을 티비로 보다니..삼류 사이코,7,10,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
83,mski****,혼자보는데도 민망ㅠ,12,0,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
84,바보,신은경 나쁜엄마아픈자식을 나몰라라하는인간두 아니다그러구 연애나하구남친얘기를 티브이에서 자랑하구,15,9,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
85,skeghu,혀가 안 들어갔어.  그냥 뽀뽀인데  전혀 진하지 않아,9,2,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
86,하늘하늘,딱히 야한건 없지만  같이  보던 남편왈...19금 해야겠다  정상인이  안나온다,18,2,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
87,epzk****,신은경  연기력은  깔 수 없음,23,1,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
88,어이니느탸,이엘리야는 키스전문배우?,16,6,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
89,김설희,정분나겠다,11,0,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
90,Skyfall,에이 실망... 이엘리야 쌈마이웨이때가 키스신 제대로였는데...,10,3,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
91,Zz,이엘리야 겁나이쁘네 약간 이태임같다,35,2,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
92,ljy,공중파 키스신 클라스 오져따리,12,1,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
93,peach,이거보니까 귤 먹고싶네ㅋㅋ,18,1,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
94,핑크로즈,지상파에서 폭력신 짜증나고키스신ㅈ너무많다,17,7,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
95,밍밍종종사랑해,와 .... 이엘리아 진짜 매력이 넘치네요,11,3,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
96,간큰콩쥐,아오  이장면 넘 재밌었었음. ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ  귤 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,20,2,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
97,하리마,앞으로최배우님 은 우리가 지키자,5,6,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
98,daeu****,이여자 연기가 왜 이럼?,3,13,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
99,하리마,귤 ㅋ,7,0,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
100,DLESELPOWER,19금이여,10,1,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
101,야구바보,이드라마 뭔지 ...쓰러기들 모임인듯 살인 치정 나있내.... 쫌 힐링 드라마가 보고 싶다... 그러니 케이블 드라마에 지는거지....,13,11,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
102,love****,여기댓글무엇ㅋㅋㅋ너무웃곀ㅋㅋ,9,0,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
103,Capt Marvel,스토리는 원래 막장인걸 감안해도 캐스팅이 영 아닌듯... 연출도 되게 올드한 느낌... 이젠 이런 스토리전개 좀 지겹... 장나라랑 최진혁땜에 보는중...,11,4,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
104,소나기,아줌마들 맘만  잡음 시청률  많이 올라가겠네 ㅎ 욕하면서  계속 보는게 아줌마들 이니 ..ㅎㅎ,8,7,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
105,좋아,신은경 귤 ㅋㅋ 신은경  안나오면 황후 잼없지,15,1,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
106,크로커다일,막장드라마 수준 ㅋㅋㅋㅋ,10,4,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
107,wnal****,귤까먹으면서 아들 몰카보다가  놀란표정 ㅋㅋㅋㅋㅋ,31,0,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
108,봉봉,황제랑 황제비서실장 황후 미스캐스팅 전혀 배역에 어울리지도 않고 개판인 스토리에 몰입감마저 깨트림ㅋㅋㅋㅋㅋㅋ,10,15,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
109,Yeonseok,고냥 네이버에 떠서 들어와봤는데 남자가 폐하..? 이것은 사극입니까..? 정체성을 모르겠닼ㅋㅋㅋㅋㅋㅋ근데 궁금해서 보게됨,17,1,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
110,ahffktsl,귤 개터짐ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,14,0,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
111,아키,요즘 공중파 왜 이래요 ㅡ.ㅡ,15,4,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
112,사랑사람,이런 드라마는 이해가 안가... 무슨 판타지도 아니고 그렇다고 역사물도 아니고 ... 대사는 오글거리고,17,5,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
113,유땡꾸,ㄹㅇ 인소 드라마판이네....,8,0,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
114,깜찍이,쫌 이질감..  대한제국...장나라 때매  믿고 보는중..근대 쉬위  넘 넘침...,2,4,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
115,여여,이런막작이 왜 메인이냐 애들도 다 쳐다보는데,11,4,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
116,오드리,이엘리야 키스되게못....,9,0,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
117,지니,싸구려 성인물같은 역겨운 드라마;,12,8,"이엘리야·신성록, 신은경 분노케 하는 진한 스킨십!","재생수 433,110","1,077",177,2
