,nick,contents,recomm,unrecomm,title,play,like,reple_count,episode
0,즐거운사람,진심 저건 아닌것같아 개막장이라지만ㅠㅠㅠ,3,0,"신성록·이엘리야, 칸막이 너머 위험한 애정행각!","재생수 593,291","1,192",404,4
1,수연님,써니 불쌍,6,0,"신성록·이엘리야, 칸막이 너머 위험한 애정행각!","재생수 593,291","1,192",404,4
2,박정안,아니 진짜 가족들이랑 보는데 한 화에 이런장면 꼭 한 번씩나옴 ㅜㅜㅜ,8,0,"신성록·이엘리야, 칸막이 너머 위험한 애정행각!","재생수 593,291","1,192",404,4
3,앵그리햄,이엘리야님이 이런 캐릭터로 소모될 배우님이 아닌데....아오...,9,2,"신성록·이엘리야, 칸막이 너머 위험한 애정행각!","재생수 593,291","1,192",404,4
4,치즈라면먹으까,"사랑과전쟁, 궁, 언니는살아있다 합친듯",12,0,"신성록·이엘리야, 칸막이 너머 위험한 애정행각!","재생수 593,291","1,192",404,4
5,행복나눔,애들 다보는 공중파 맞아 ???  방송이  진짜 정신이 나갔네,15,1,"신성록·이엘리야, 칸막이 너머 위험한 애정행각!","재생수 593,291","1,192",404,4
6,혜승,포르노의 흔한 설정이라 놀랐다..,25,1,"신성록·이엘리야, 칸막이 너머 위험한 애정행각!","재생수 593,291","1,192",404,4
7,지니,바지입고 목욕하는게웃기네,19,0,"신성록·이엘리야, 칸막이 너머 위험한 애정행각!","재생수 593,291","1,192",404,4
8,초6초2학모 욱과연,포르노 찍지 왜?,9,0,"신성록·이엘리야, 칸막이 너머 위험한 애정행각!","재생수 593,291","1,192",404,4
9,남이사뭘하든,웃기고 자빠졌네 무슨 공중파가 ebs냐 에라이 여긴 뭐 조선시대 려자들만 보는 드라만가  밤 10시에 별 걸다 까네 또라이들 많네ㅜ여기,15,8,"신성록·이엘리야, 칸막이 너머 위험한 애정행각!","재생수 593,291","1,192",404,4
10,사람이다,욕할 뻔...와 더럽,6,1,"신성록·이엘리야, 칸막이 너머 위험한 애정행각!","재생수 593,291","1,192",404,4
11,피치,신성록 몸 미쳤다,44,1,"신성록·이엘리야, 칸막이 너머 위험한 애정행각!","재생수 593,291","1,192",404,4
12,피치,10댄데 요즘 애들 알거 다 알고 뭐 어머 야해 이러고 난리 까는 게 아니라 그냥 속으로 므흣 정도인데... 아닌가 이런 연출도 나름 갠춘한데,21,1,"신성록·이엘리야, 칸막이 너머 위험한 애정행각!","재생수 593,291","1,192",404,4
13,이해정,좋은작품 보여주세요ㅠ스킨쉽이 좀심한거같아요ㅠ키스신스토리가뒤죽박죽 무순내용인지~~~~~,6,0,"신성록·이엘리야, 칸막이 너머 위험한 애정행각!","재생수 593,291","1,192",404,4
14,dlwj****,좀..  심한장면들이 너무많이나와서 보기불편합니다그래서1회2회까지보고 안봅니다.요즘 이렇게 안벗어도 괜찮은드라마들많이있던데장나라나온다길래 .. 애들하고보다가.. 안보내요,13,1,"신성록·이엘리야, 칸막이 너머 위험한 애정행각!","재생수 593,291","1,192",404,4
15,촛불처럼,주감독 이건 아닙니다. 수위조절좀 하세요,14,2,"신성록·이엘리야, 칸막이 너머 위험한 애정행각!","재생수 593,291","1,192",404,4
