,nick,contents,recomm,unrecomm,title,play,like,reple_count,episode
0,물개에옹,호호홓 이장면 몇번이나 보는지..ㅎㅎㅎ,0,1,"[미친 엔딩] 신성록, 최진혁·장나라 포옹 앞 넋나간 눈빛","재생수 621,782","3,363",900,12
1,파츄리,유노 : 카야노와 유키테루가 지금 뭐하는거지??,0,1,"[미친 엔딩] 신성록, 최진혁·장나라 포옹 앞 넋나간 눈빛","재생수 621,782","3,363",900,12
2,ED,근데 전개상 아무리 봐도 황제가 갑자기 써니를 이성으로 볼 것 같지 않음 ㅋㅋ 저 상황에서 충격은 천우빈이 황후를 껴안아서일듯,5,6,"[미친 엔딩] 신성록, 최진혁·장나라 포옹 앞 넋나간 눈빛","재생수 621,782","3,363",900,12
3,윤지연,제의견입니다.세상에여자엄청많은데..,2,4,"[미친 엔딩] 신성록, 최진혁·장나라 포옹 앞 넋나간 눈빛","재생수 621,782","3,363",900,12
4,Beka,예고편 보러왔는데ㅜㅠㅠㅠ,9,0,"[미친 엔딩] 신성록, 최진혁·장나라 포옹 앞 넋나간 눈빛","재생수 621,782","3,363",900,12
5,승기기주,예고언제나오나요. 오늘 러브라인 팍팍 가자.,9,0,"[미친 엔딩] 신성록, 최진혁·장나라 포옹 앞 넋나간 눈빛","재생수 621,782","3,363",900,12
6,victoriandress,나둥 천우빈에게 안기고싶다 ㅠㅠㅠ 황후마마 살짝부러비ㅎ  최진혁 상남자 연기를 매력적으로잘하는듯^^,16,2,"[미친 엔딩] 신성록, 최진혁·장나라 포옹 앞 넋나간 눈빛","재생수 621,782","3,363",900,12
7,보물같은에블린,아 포옹씬 겁나 썰렌다... 최진혁앓이 출구가없네요ㅜㅜ 요즘 최진혁만 생각나네요,15,1,"[미친 엔딩] 신성록, 최진혁·장나라 포옹 앞 넋나간 눈빛","재생수 621,782","3,363",900,12
8,Fairy5VLamp,최진혁 보니까 심장이 쿵쾅거린다 최진혁이  천우빈이라서 멋진게 맞다니까!! 최진혁은 외모도 그렇지만 액션이나 행동마저도 예쁘게 연출이 된다.,16,1,"[미친 엔딩] 신성록, 최진혁·장나라 포옹 앞 넋나간 눈빛","재생수 621,782","3,363",900,12
9,너만바라볼께귀요미들,예고편이 시급해여 얼른 주세여ㅠㅠ,13,0,"[미친 엔딩] 신성록, 최진혁·장나라 포옹 앞 넋나간 눈빛","재생수 621,782","3,363",900,12
10,winifrid,폐하 술 마실때 벽뒤에 잇는 모나리자 담배물고 고흐가 술잔 들고 있는 그림 이름 아시는 분....? 계실까요...?,7,0,"[미친 엔딩] 신성록, 최진혁·장나라 포옹 앞 넋나간 눈빛","재생수 621,782","3,363",900,12
11,캐서린,삼각구도의 형성의 시작자 이제 게임을 시작하지.,13,0,"[미친 엔딩] 신성록, 최진혁·장나라 포옹 앞 넋나간 눈빛","재생수 621,782","3,363",900,12
12,늉늉,예고주세여ㅠㅠㅠㅠ,21,0,"[미친 엔딩] 신성록, 최진혁·장나라 포옹 앞 넋나간 눈빛","재생수 621,782","3,363",900,12
13,난그저총알많은미국인,신성록 마약중독자같다 처음에보니까,8,1,"[미친 엔딩] 신성록, 최진혁·장나라 포옹 앞 넋나간 눈빛","재생수 621,782","3,363",900,12
14,happy,신성록 결혼했어ㅠㅠ,20,2,"[미친 엔딩] 신성록, 최진혁·장나라 포옹 앞 넋나간 눈빛","재생수 621,782","3,363",900,12
15,푸른카라,기대대♥,9,0,"[미친 엔딩] 신성록, 최진혁·장나라 포옹 앞 넋나간 눈빛","재생수 621,782","3,363",900,12
16,kimbo0808,배우가캐릭터를드라마를완성시켰네~~최배우가♡♡♡,16,2,"[미친 엔딩] 신성록, 최진혁·장나라 포옹 앞 넋나간 눈빛","재생수 621,782","3,363",900,12
17,kimbo0808,정답!!최진혁이기에천우빈이멋지다!!ㅎㅎㅎㅎㅎ,19,1,"[미친 엔딩] 신성록, 최진혁·장나라 포옹 앞 넋나간 눈빛","재생수 621,782","3,363",900,12
18,kimbo0808,미친엔딩!!미친최진혁♡♡최배우매력사람미치게한다,14,1,"[미친 엔딩] 신성록, 최진혁·장나라 포옹 앞 넋나간 눈빛","재생수 621,782","3,363",900,12
19,벽하현군,"베댓이 왜 때문에 자꾸 써니,황제,우빈 애증 삼각으로 역는 느낌적느낌이죠ㅋㅋ댓글들 넘나 웃김ㅋㅋㅋ",12,0,"[미친 엔딩] 신성록, 최진혁·장나라 포옹 앞 넋나간 눈빛","재생수 621,782","3,363",900,12
20,물개에옹,호호홓 이장면 몇번이나 보는지..ㅎㅎㅎ,0,1,"[미친 엔딩] 신성록, 최진혁·장나라 포옹 앞 넋나간 눈빛","재생수 621,782","3,363",900,12
21,파츄리,유노 : 카야노와 유키테루가 지금 뭐하는거지??,0,1,"[미친 엔딩] 신성록, 최진혁·장나라 포옹 앞 넋나간 눈빛","재생수 621,782","3,363",900,12
22,ED,근데 전개상 아무리 봐도 황제가 갑자기 써니를 이성으로 볼 것 같지 않음 ㅋㅋ 저 상황에서 충격은 천우빈이 황후를 껴안아서일듯,5,6,"[미친 엔딩] 신성록, 최진혁·장나라 포옹 앞 넋나간 눈빛","재생수 621,782","3,363",900,12
23,윤지연,제의견입니다.세상에여자엄청많은데..,2,4,"[미친 엔딩] 신성록, 최진혁·장나라 포옹 앞 넋나간 눈빛","재생수 621,782","3,363",900,12
24,Beka,예고편 보러왔는데ㅜㅠㅠㅠ,9,0,"[미친 엔딩] 신성록, 최진혁·장나라 포옹 앞 넋나간 눈빛","재생수 621,782","3,363",900,12
25,승기기주,예고언제나오나요. 오늘 러브라인 팍팍 가자.,9,0,"[미친 엔딩] 신성록, 최진혁·장나라 포옹 앞 넋나간 눈빛","재생수 621,782","3,363",900,12
26,victoriandress,나둥 천우빈에게 안기고싶다 ㅠㅠㅠ 황후마마 살짝부러비ㅎ  최진혁 상남자 연기를 매력적으로잘하는듯^^,16,2,"[미친 엔딩] 신성록, 최진혁·장나라 포옹 앞 넋나간 눈빛","재생수 621,782","3,363",900,12
27,보물같은에블린,아 포옹씬 겁나 썰렌다... 최진혁앓이 출구가없네요ㅜㅜ 요즘 최진혁만 생각나네요,15,1,"[미친 엔딩] 신성록, 최진혁·장나라 포옹 앞 넋나간 눈빛","재생수 621,782","3,363",900,12
28,Fairy5VLamp,최진혁 보니까 심장이 쿵쾅거린다 최진혁이  천우빈이라서 멋진게 맞다니까!! 최진혁은 외모도 그렇지만 액션이나 행동마저도 예쁘게 연출이 된다.,16,1,"[미친 엔딩] 신성록, 최진혁·장나라 포옹 앞 넋나간 눈빛","재생수 621,782","3,363",900,12
29,너만바라볼께귀요미들,예고편이 시급해여 얼른 주세여ㅠㅠ,13,0,"[미친 엔딩] 신성록, 최진혁·장나라 포옹 앞 넋나간 눈빛","재생수 621,782","3,363",900,12
30,winifrid,폐하 술 마실때 벽뒤에 잇는 모나리자 담배물고 고흐가 술잔 들고 있는 그림 이름 아시는 분....? 계실까요...?,7,0,"[미친 엔딩] 신성록, 최진혁·장나라 포옹 앞 넋나간 눈빛","재생수 621,782","3,363",900,12
31,캐서린,삼각구도의 형성의 시작자 이제 게임을 시작하지.,13,0,"[미친 엔딩] 신성록, 최진혁·장나라 포옹 앞 넋나간 눈빛","재생수 621,782","3,363",900,12
32,늉늉,예고주세여ㅠㅠㅠㅠ,21,0,"[미친 엔딩] 신성록, 최진혁·장나라 포옹 앞 넋나간 눈빛","재생수 621,782","3,363",900,12
33,난그저총알많은미국인,신성록 마약중독자같다 처음에보니까,8,1,"[미친 엔딩] 신성록, 최진혁·장나라 포옹 앞 넋나간 눈빛","재생수 621,782","3,363",900,12
34,happy,신성록 결혼했어ㅠㅠ,20,2,"[미친 엔딩] 신성록, 최진혁·장나라 포옹 앞 넋나간 눈빛","재생수 621,782","3,363",900,12
35,푸른카라,기대대♥,9,0,"[미친 엔딩] 신성록, 최진혁·장나라 포옹 앞 넋나간 눈빛","재생수 621,782","3,363",900,12
36,kimbo0808,배우가캐릭터를드라마를완성시켰네~~최배우가♡♡♡,16,2,"[미친 엔딩] 신성록, 최진혁·장나라 포옹 앞 넋나간 눈빛","재생수 621,782","3,363",900,12
37,kimbo0808,정답!!최진혁이기에천우빈이멋지다!!ㅎㅎㅎㅎㅎ,19,1,"[미친 엔딩] 신성록, 최진혁·장나라 포옹 앞 넋나간 눈빛","재생수 621,782","3,363",900,12
38,kimbo0808,미친엔딩!!미친최진혁♡♡최배우매력사람미치게한다,14,1,"[미친 엔딩] 신성록, 최진혁·장나라 포옹 앞 넋나간 눈빛","재생수 621,782","3,363",900,12
39,벽하현군,"베댓이 왜 때문에 자꾸 써니,황제,우빈 애증 삼각으로 역는 느낌적느낌이죠ㅋㅋ댓글들 넘나 웃김ㅋㅋㅋ",12,0,"[미친 엔딩] 신성록, 최진혁·장나라 포옹 앞 넋나간 눈빛","재생수 621,782","3,363",900,12
40,닐리리야,아닠ㅋㅋ자기가 천우빈 네여자로 만들라고 했으면서 충격받는거 뭔뎈ㅋㅋㅋㅋ미션수행하거있자넠ㅋㅋㅋ,32,0,"[미친 엔딩] 신성록, 최진혁·장나라 포옹 앞 넋나간 눈빛","재생수 621,782","3,363",900,12
41,샴페인,나의 빈이다 ㅠ 천우빈 ㅠ,19,0,"[미친 엔딩] 신성록, 최진혁·장나라 포옹 앞 넋나간 눈빛","재생수 621,782","3,363",900,12
