,nick,contents,recomm,unrecomm,title,play,like,reple_count,episode
0,뽀송뽀송,아리 솔직히말해줘서 좋네요,6,0,"오아린, 장나라 앞 터져버린 서러움 “그리웠어요 흐끅”","재생수 350,042","2,294",170,23
1,아이리스,아리 나오는 거만 봅니다,8,1,"오아린, 장나라 앞 터져버린 서러움 “그리웠어요 흐끅”","재생수 350,042","2,294",170,23
2,쿠키만세,이 드라마는 안보는데 아이가 너무 예쁘게 잘해 클립영상 찾아보게 됨~,20,0,"오아린, 장나라 앞 터져버린 서러움 “그리웠어요 흐끅”","재생수 350,042","2,294",170,23
3,GBCW37,아리 우는 거 ㅠㅠㅠㅠ ... 서러워 .. 써니아리 둘이 행복하자 ..,8,0,"오아린, 장나라 앞 터져버린 서러움 “그리웠어요 흐끅”","재생수 350,042","2,294",170,23
4,가브리엘라,장나라❤️오아린,12,1,"오아린, 장나라 앞 터져버린 서러움 “그리웠어요 흐끅”","재생수 350,042","2,294",170,23
5,슬기로운딸들,흐끅..ㅠㅠ,10,1,"오아린, 장나라 앞 터져버린 서러움 “그리웠어요 흐끅”","재생수 350,042","2,294",170,23
6,안뇽,아리공주 연기 잘한다,17,0,"오아린, 장나라 앞 터져버린 서러움 “그리웠어요 흐끅”","재생수 350,042","2,294",170,23
7,탬탬,아리공주 진짜 연기 너무 잘한다ㅠㅠㅜ오구 애깅이ㅠㅠㅠㅠㅠㅠㅠ아린이 너무 예뻐ㅠㅠ,19,0,"오아린, 장나라 앞 터져버린 서러움 “그리웠어요 흐끅”","재생수 350,042","2,294",170,23
8,ㅋㅋㅋ,연기 미쳤다... 애 맞아?,22,0,"오아린, 장나라 앞 터져버린 서러움 “그리웠어요 흐끅”","재생수 350,042","2,294",170,23
9,좁밥,캐스팅이 장나라만 아니었으면 대박났을 드라마,4,70,"오아린, 장나라 앞 터져버린 서러움 “그리웠어요 흐끅”","재생수 350,042","2,294",170,23
10,삼댕수,아역배우인데 여기 드라마에 나온 어른(?)배우들과 맘 먹을정도로 잘한다..딕션 표정 하나하나 틈 잡을게 없네..완전 프로,30,0,"오아린, 장나라 앞 터져버린 서러움 “그리웠어요 흐끅”","재생수 350,042","2,294",170,23
11,찬열알찬열매,서강희 걍 교도서ㄱㄱ,16,0,"오아린, 장나라 앞 터져버린 서러움 “그리웠어요 흐끅”","재생수 350,042","2,294",170,23
12,201833019 이선혜,지금 이혁과 나왕식이 싸패들인걸 감안하면 써니는 아리공주와 같이 살면서 강주승과 이어졌으면 좋겠습니다 (강주승이 너무 불쌍해),13,0,"오아린, 장나라 앞 터져버린 서러움 “그리웠어요 흐끅”","재생수 350,042","2,294",170,23
13,규리,아리 머리 그냥 하나로 딴게 이쁜데 올린거보다 ㅎ,24,2,"오아린, 장나라 앞 터져버린 서러움 “그리웠어요 흐끅”","재생수 350,042","2,294",170,23
14,yebineee,아리공주역 오아린 배우 앞으로가 더 기대되요 진짜 넋을 놓고봄... 좋아하는 아역배우중 최애 됫어요 ㅠㅠ진짜 짱짱,26,0,"오아린, 장나라 앞 터져버린 서러움 “그리웠어요 흐끅”","재생수 350,042","2,294",170,23
15,201833019 이선혜,막판에 민들레 나와라 쫌!!!!!!!!! 이 드라마는 민들레가 주인공인게 구원인 드라마,18,0,"오아린, 장나라 앞 터져버린 서러움 “그리웠어요 흐끅”","재생수 350,042","2,294",170,23
16,PJM,와 아리 진짜 연기 대박이다,22,0,"오아린, 장나라 앞 터져버린 서러움 “그리웠어요 흐끅”","재생수 350,042","2,294",170,23
17,an ze,,14,0,"오아린, 장나라 앞 터져버린 서러움 “그리웠어요 흐끅”","재생수 350,042","2,294",170,23
18,Judy,귀여운 써니 아리,19,0,"오아린, 장나라 앞 터져버린 서러움 “그리웠어요 흐끅”","재생수 350,042","2,294",170,23
19,파츄리,유모야~~ 아리는 니 딸이니~~ 아니면 니 인생게임의 2회차 캐릭터니??,19,0,"오아린, 장나라 앞 터져버린 서러움 “그리웠어요 흐끅”","재생수 350,042","2,294",170,23
20,뽀송뽀송,아리 솔직히말해줘서 좋네요,6,0,"오아린, 장나라 앞 터져버린 서러움 “그리웠어요 흐끅”","재생수 350,042","2,294",170,23
21,아이리스,아리 나오는 거만 봅니다,8,1,"오아린, 장나라 앞 터져버린 서러움 “그리웠어요 흐끅”","재생수 350,042","2,294",170,23
