,nick,contents,recomm,unrecomm,title,play,like,reple_count,episode
0,파츄리,유키테루 : 다트어택!! 미네네 : 내눈!!,0,1,"“널 해임하겠다” 장나라, 이엘리야 감옥에 감금 ‘흑화 1단계’","재생수 206,056","1,161",88,7
1,행복통닭,민유라가 감옥에 갇혀있으니 궁하녀들도 민유라 소행이라고 불어버리네 ㅎㅎ 역시 사람은 자기가 어느편에서야 안전한지 머리가 돌아가야 살지,5,0,"“널 해임하겠다” 장나라, 이엘리야 감옥에 감금 ‘흑화 1단계’","재생수 206,056","1,161",88,7
2,Lolo,이엘리야 님 울먹거리는 연기 잘하네요. 영상 초반부 연기 너무 자연스러워서 놀랐어요.,3,0,"“널 해임하겠다” 장나라, 이엘리야 감옥에 감금 ‘흑화 1단계’","재생수 206,056","1,161",88,7
3,doro****,캬 사이다,8,0,"“널 해임하겠다” 장나라, 이엘리야 감옥에 감금 ‘흑화 1단계’","재생수 206,056","1,161",88,7
4,웅이,딕션 워후 귀에쏙쏙박히네,9,0,"“널 해임하겠다” 장나라, 이엘리야 감옥에 감금 ‘흑화 1단계’","재생수 206,056","1,161",88,7
5,미니 엘감,이장면 진심 사이다ㅠㅠ,10,0,"“널 해임하겠다” 장나라, 이엘리야 감옥에 감금 ‘흑화 1단계’","재생수 206,056","1,161",88,7
6,커피앤도넛,시청률더올라서 장나라대상가자!!!!!!!!!,12,0,"“널 해임하겠다” 장나라, 이엘리야 감옥에 감금 ‘흑화 1단계’","재생수 206,056","1,161",88,7
7,먼치킨,뭔 감옥이 아직 조선시대야 ㅋㅋㅋㅋ게다가 창살틈이 사람 그냥 빠져 나가겠다 ㅋㅋㅋ,11,3,"“널 해임하겠다” 장나라, 이엘리야 감옥에 감금 ‘흑화 1단계’","재생수 206,056","1,161",88,7
8,봄 봄 봄,장나라 악역도 잘할듯...,12,0,"“널 해임하겠다” 장나라, 이엘리야 감옥에 감금 ‘흑화 1단계’","재생수 206,056","1,161",88,7
9,SSSSS,흑화하자,9,0,"“널 해임하겠다” 장나라, 이엘리야 감옥에 감금 ‘흑화 1단계’","재생수 206,056","1,161",88,7
10,듀라라,장나라 발성이 좋으니까 속시원하네....ㅋ ㅑ,22,0,"“널 해임하겠다” 장나라, 이엘리야 감옥에 감금 ‘흑화 1단계’","재생수 206,056","1,161",88,7
11,이은진,써니야계속복수하자ㅠㅠ,12,0,"“널 해임하겠다” 장나라, 이엘리야 감옥에 감금 ‘흑화 1단계’","재생수 206,056","1,161",88,7
12,수연님,장나라 써니 화이팅민유라 ㅁㅊ,11,0,"“널 해임하겠다” 장나라, 이엘리야 감옥에 감금 ‘흑화 1단계’","재생수 206,056","1,161",88,7
13,수연님,민유라~뒤져쓰,10,0,"“널 해임하겠다” 장나라, 이엘리야 감옥에 감금 ‘흑화 1단계’","재생수 206,056","1,161",88,7
14,유진초이,요때까지는 딱 좋았는데 ..통쾌할려는 찰라에 ㅠㅠ 뜨악,8,0,"“널 해임하겠다” 장나라, 이엘리야 감옥에 감금 ‘흑화 1단계’","재생수 206,056","1,161",88,7
15,둘혀니맘,더 사이다 부탁해요,13,0,"“널 해임하겠다” 장나라, 이엘리야 감옥에 감금 ‘흑화 1단계’","재생수 206,056","1,161",88,7
16,쥬스쥬키,잠깐이었지만 사이다였어요,17,0,"“널 해임하겠다” 장나라, 이엘리야 감옥에 감금 ‘흑화 1단계’","재생수 206,056","1,161",88,7
17,늘쟝,참 보면서 느끼는건데 감옥 그 네모사이로 충분히 나올 수 있을 것 같은데..,26,0,"“널 해임하겠다” 장나라, 이엘리야 감옥에 감금 ‘흑화 1단계’","재생수 206,056","1,161",88,7
18,신나봉,그와중에 장나라 너무 애기같당.. ㅠㅠㅠㅠ귀여워...,24,1,"“널 해임하겠다” 장나라, 이엘리야 감옥에 감금 ‘흑화 1단계’","재생수 206,056","1,161",88,7
19,헤헤,캬....연기쩐다,21,0,"“널 해임하겠다” 장나라, 이엘리야 감옥에 감금 ‘흑화 1단계’","재생수 206,056","1,161",88,7
20,파츄리,유키테루 : 다트어택!! 미네네 : 내눈!!,0,1,"“널 해임하겠다” 장나라, 이엘리야 감옥에 감금 ‘흑화 1단계’","재생수 206,056","1,161",88,7
