,nick,contents,recomm,unrecomm,title,play,like,reple_count,episode
0,신은정배우는 예쁘다,속 개시원하네ㅋㅋㅋㅋㅋㅋㅋ,1,0,"장나라, 악녀 이엘리야 때려잡는 카리스마 “얻다대고 반말”","재생수 856,701","5,208",754,8
1,유현서,와 다시 보니까 뒷 전개 다 알아도 뒤 스토리를 절대 예상할 수가 없다,11,0,"장나라, 악녀 이엘리야 때려잡는 카리스마 “얻다대고 반말”","재생수 856,701","5,208",754,8
2,잠이나자자,크으 이때 써니 존멋ㅠㅅㅠ,9,0,"장나라, 악녀 이엘리야 때려잡는 카리스마 “얻다대고 반말”","재생수 856,701","5,208",754,8
3,MXGC,역시 갓나라 연기 ㄷㄷㄷ,24,0,"장나라, 악녀 이엘리야 때려잡는 카리스마 “얻다대고 반말”","재생수 856,701","5,208",754,8
4,수연님,나라짱 연기 대박,21,0,"장나라, 악녀 이엘리야 때려잡는 카리스마 “얻다대고 반말”","재생수 856,701","5,208",754,8
5,쿠크,장나라같은 선한??착해보이는?얼굴로 소리치니까 더 통쾌한느낌ㅋㅋ짜릿해,22,0,"장나라, 악녀 이엘리야 때려잡는 카리스마 “얻다대고 반말”","재생수 856,701","5,208",754,8
6,sje7****,이때를 생각해요 여러분 황제가 써니한테 빠졋다고 이때 잊지마세요 ㅋㅋㅋ,20,1,"장나라, 악녀 이엘리야 때려잡는 카리스마 “얻다대고 반말”","재생수 856,701","5,208",754,8
7,보리,와 존나손시윤,14,0,"장나라, 악녀 이엘리야 때려잡는 카리스마 “얻다대고 반말”","재생수 856,701","5,208",754,8
8,ㅅㅎ,포옹씬도 좋지만 이게 짱이지 ㅈㄴ 멋있엉,16,0,"장나라, 악녀 이엘리야 때려잡는 카리스마 “얻다대고 반말”","재생수 856,701","5,208",754,8
9,Yamsn,이엘리야 허리 실화냐 개미허리,8,3,"장나라, 악녀 이엘리야 때려잡는 카리스마 “얻다대고 반말”","재생수 856,701","5,208",754,8
10,오소리,목요일 엔딩 보고 왔는데 정신이 확드네요..정신차리자,7,0,"장나라, 악녀 이엘리야 때려잡는 카리스마 “얻다대고 반말”","재생수 856,701","5,208",754,8
