,nick,contents,recomm,unrecomm,title,play,like,reple_count,episode
0,rosi****,ㅅㅂ옷입고 목욕탕 들어가는거 ㅈㄴ웃기넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ저거 명품일 텐데ㅋㅋㅋㅋㅋㅋㅋㅋ,5,0,"신은경, 핸드폰 너머 이엘리야의 의도적 신음에 ‘분노 폭발’","재생수 474,498",842,185,1
1,핑크에메랄드,왠지 선황제가 바람은 못폈을거 같다는 생각이 든다 태후가 황후로 있는한 감히 생각도 못했을듯,2,0,"신은경, 핸드폰 너머 이엘리야의 의도적 신음에 ‘분노 폭발’","재생수 474,498",842,185,1
2,서지안,ㅋㅋㅋㅋㅋㅋㅋㅋ,0,0,"신은경, 핸드폰 너머 이엘리야의 의도적 신음에 ‘분노 폭발’","재생수 474,498",842,185,1
3,경,ㅏ,0,0,"신은경, 핸드폰 너머 이엘리야의 의도적 신음에 ‘분노 폭발’","재생수 474,498",842,185,1
4,홍홍,이게 나라냐? 방송에서 이딴수위가 나오고 지랄이야 진짜 개좃헬조선 시발,3,5,"신은경, 핸드폰 너머 이엘리야의 의도적 신음에 ‘분노 폭발’","재생수 474,498",842,185,1
5,앵그리햄,이엘리야님 진짜 예쁘다,8,1,"신은경, 핸드폰 너머 이엘리야의 의도적 신음에 ‘분노 폭발’","재생수 474,498",842,185,1
6,doloing,오늘은 이거다,2,2,"신은경, 핸드폰 너머 이엘리야의 의도적 신음에 ‘분노 폭발’","재생수 474,498",842,185,1
7,강민주,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ에쓰엠드립봐 ㅋ,6,1,"신은경, 핸드폰 너머 이엘리야의 의도적 신음에 ‘분노 폭발’","재생수 474,498",842,185,1
8,추워죽겠네,15세인데 저정도는 나와줘야지ㅋㅋ 댓글보고 졸라야한줄알았더니만 미드15세보다 못하네 청소년이야기도 아니고 나이든 성인들 이야긴데 저런거 안나오는게 이상한거아님?그냥 드라마19붙히고 방송해줘라 제발,26,5,"신은경, 핸드폰 너머 이엘리야의 의도적 신음에 ‘분노 폭발’","재생수 474,498",842,185,1
9,그리,토나와,4,6,"신은경, 핸드폰 너머 이엘리야의 의도적 신음에 ‘분노 폭발’","재생수 474,498",842,185,1
